Date,Donation Source,State,Quantity Received (kg),Quantity Delivered (kg),No. of People Served,Shelter Name
2024-01-07,Local Bakery,Haryana,22.71,22.22,23,"Priya Niwas, Faridabad"
2024-01-08,Hotel Plaza,Jammu & Kashmir,10.49,10.03,10,"Jhelum Seva Sadan, Jammu"
2024-01-08,Marriage Hall,Uttarakhand,13.8,13.22,15,"Shivalik Aasra, Rishikesh"
2024-01-08,Corporate Office,Jammu & Kashmir,19.14,18.44,19,"Dal Kinara Shelter, Srinagar"
2024-01-08,Local Bakery,Himachal Pradesh,25.37,24.54,23,"Himalayan Aasra, Shimla"
2024-01-08,NGO Kitchen,Punjab,24.05,22.94,25,"Sewa Bhawan, Patiala"
2024-01-08,Student Mess,Rajasthan,27.27,26.52,25,"Rajwada Relief Home, Jaipur"
2024-01-08,Food Corner,Uttarakhand,31.37,30.03,27,"Shivalik Aasra, Rishikesh"
2024-01-09,NGO Kitchen,Uttar Pradesh,8.35,7.97,8,"Prayag Seva Sadan, Prayagraj"
2024-01-09,Hotel Plaza,Jammu & Kashmir,13.78,13.25,14,"Chenab Niwas, Udhampur"
2024-01-09,Community Center,Uttarakhand,13.49,12.85,15,"Shivalik Aasra, Rishikesh"
2024-01-09,Marriage Hall,Punjab,28.64,27.8,27,"Guru Nanak Seva Sadan, Amritsar"
2024-01-09,City Restaurant,Uttar Pradesh,29.15,27.83,27,"Agra Relief Center, Agra"
2024-01-09,Student Mess,Himachal Pradesh,25.91,25.11,29,"Dharamsala Shelter, Dharamsala"
2024-01-10,Food Corner,Jammu & Kashmir,15.43,14.82,14,"Dal Kinara Shelter, Srinagar"
2024-01-10,Student Mess,Uttarakhand,22.22,21.75,19,"Uttarakhand Seva Kendra, Nainital"
2024-01-10,Campus Canteen,Uttar Pradesh,31.53,30.19,29,"Ganga Kinara Ashram, Varanasi"
2024-01-10,Corporate Office,Rajasthan,27.05,25.95,29,"Bikaner Shelter Trust, Bikaner"
2024-01-10,Marriage Hall,Punjab,32.05,31.14,29,"Vatsal Niwas, Jalandhar"
2024-01-11,Corporate Office,Punjab,4.54,4.43,5,"Nanak Niwas, Bathinda"
2024-01-11,Campus Canteen,Himachal Pradesh,5.57,5.35,5,"Dalhousie Relief Home, Dalhousie"
2024-01-11,Local Bakery,Uttar Pradesh,11.29,10.96,12,"Vrindavan Aasra, Mathura"
2024-01-11,Student Mess,Haryana,20.58,20.12,20,"Priya Niwas, Faridabad"
2024-01-11,Hotel Plaza,Haryana,26.25,25.24,23,"Aanchal Shelter, Gurugram"
2024-01-11,Community Center,Punjab,24.54,24.05,25,"Guru Nanak Seva Sadan, Amritsar"
2024-01-12,NGO Kitchen,Haryana,7.06,6.73,7,"Priya Niwas, Faridabad"
2024-01-12,Corporate Office,Haryana,18.35,17.49,19,"Sukoon Sadan, Hisar"
2024-01-12,Student Mess,Uttarakhand,19.78,19.11,22,"Devbhumi Shelter, Dehradun"
2024-01-13,Student Mess,Uttarakhand,4.87,4.7,5,"Pahadi Niwas, Haridwar"
2024-01-13,Community Center,Delhi,9.0,8.64,8,"Aasra Shelter Home, Paharganj"
2024-01-13,City Restaurant,Uttar Pradesh,11.4,10.9,10,"Agra Relief Center, Agra"
2024-01-13,Marriage Hall,Punjab,21.04,20.33,19,"Vatsal Niwas, Jalandhar"
2024-01-14,City Restaurant,Jammu & Kashmir,15.44,14.98,15,"Banihal Relief Home, Banihal"
2024-01-14,Corporate Office,Punjab,18.67,18.07,20,"Vatsal Niwas, Jalandhar"
2024-01-14,Local Bakery,Punjab,24.02,23.45,26,"Khalsa Ashram, Ludhiana"
2024-01-14,Hotel Plaza,Uttar Pradesh,30.75,29.56,28,"Prayag Seva Sadan, Prayagraj"
2024-01-14,Campus Canteen,Uttar Pradesh,31.65,30.2,29,"Prayag Seva Sadan, Prayagraj"
2024-01-15,City Restaurant,Haryana,5.8,5.68,5,"Priya Niwas, Faridabad"
2024-01-15,Student Mess,Uttarakhand,13.0,12.62,11,"Shivalik Aasra, Rishikesh"
2024-01-15,Food Corner,Haryana,21.38,20.59,18,"Aanchal Shelter, Gurugram"
2024-01-15,Corporate Office,Delhi,20.87,20.04,22,"Umeed Ghar, Saket"
2024-01-15,Hotel Plaza,Uttarakhand,25.62,24.66,23,"Pahadi Niwas, Haridwar"
2024-01-15,Local Bakery,Rajasthan,30.91,30.08,28,"Bikaner Shelter Trust, Bikaner"
2024-01-15,Community Center,Uttar Pradesh,31.67,30.59,30,"Shanti Niwas, Lucknow"
2024-01-16,Corporate Office,Himachal Pradesh,10.98,10.6,10,"Kullu Seva Kendra, Kullu"
2024-01-16,NGO Kitchen,Haryana,12.15,11.65,11,"Mamta Ashram, Rohtak"
2024-01-16,Local Bakery,Uttar Pradesh,15.97,15.39,15,"Agra Relief Center, Agra"
2024-01-16,Campus Canteen,Haryana,28.98,27.89,31,"Sukoon Sadan, Hisar"
2024-01-16,Marriage Hall,Haryana,34.16,32.83,32,"Sahara Bhawan, Karnal"
2024-01-17,Student Mess,Uttarakhand,6.81,6.51,6,"Pahadi Niwas, Haridwar"
2024-01-17,City Restaurant,Jammu & Kashmir,7.7,7.34,8,"Pahalgam Aasra, Pahalgam"
2024-01-17,Corporate Office,Jammu & Kashmir,15.12,14.74,17,"Dal Kinara Shelter, Srinagar"
2024-01-17,Local Bakery,Punjab,21.17,20.32,18,"Khalsa Ashram, Ludhiana"
2024-01-17,Campus Canteen,Uttar Pradesh,23.96,23.22,21,"Ganga Kinara Ashram, Varanasi"
2024-01-18,Corporate Office,Himachal Pradesh,6.02,5.88,6,"Dalhousie Relief Home, Dalhousie"
2024-01-18,Community Center,Haryana,8.23,7.95,8,"Mamta Ashram, Rohtak"
2024-01-18,Hotel Plaza,Uttarakhand,11.15,10.62,10,"Shivalik Aasra, Rishikesh"
2024-01-18,City Restaurant,Rajasthan,12.14,11.86,12,"Rajwada Relief Home, Jaipur"
2024-01-18,Campus Canteen,Haryana,21.87,21.19,22,"Priya Niwas, Faridabad"
2024-01-18,Student Mess,Jammu & Kashmir,29.08,28.06,27,"Chenab Niwas, Udhampur"
2024-01-18,Food Corner,Himachal Pradesh,39.46,38.46,34,"Dalhousie Relief Home, Dalhousie"
2024-01-19,Food Corner,Himachal Pradesh,10.59,10.09,9,"Kullu Seva Kendra, Kullu"
2024-01-19,Campus Canteen,Delhi,13.34,12.97,15,"Prem Ashram, Lajpat Nagar"
2024-01-19,NGO Kitchen,Delhi,31.81,30.32,27,"Prem Ashram, Lajpat Nagar"
2024-01-20,Community Center,Delhi,16.66,16.01,18,"Prem Ashram, Lajpat Nagar"
2024-01-20,Corporate Office,Uttar Pradesh,20.85,19.95,23,"Shanti Niwas, Lucknow"
2024-01-20,City Restaurant,Delhi,29.62,28.44,31,"Dil Se Sewa Kendra, Rohini"
2024-01-20,Marriage Hall,Rajasthan,38.08,36.86,34,"Thar Seva Sadan, Jodhpur"
2024-01-20,Food Corner,Punjab,31.53,30.68,36,"Khalsa Ashram, Ludhiana"
2024-01-21,City Restaurant,Uttarakhand,8.12,7.76,8,"Mandakini Ashram, Rudraprayag"
2024-01-21,Food Corner,Haryana,18.76,18.03,16,"Sahara Bhawan, Karnal"
2024-01-21,Hotel Plaza,Haryana,36.72,35.7,36,"Sukoon Sadan, Hisar"
2024-01-22,Campus Canteen,Uttar Pradesh,8.89,8.54,10,"Vrindavan Aasra, Mathura"
2024-01-22,Marriage Hall,Punjab,14.49,13.99,15,"Sewa Bhawan, Patiala"
2024-01-22,City Restaurant,Haryana,19.25,18.7,20,"Sahara Bhawan, Karnal"
2024-01-22,Local Bakery,Rajasthan,20.03,19.59,21,"Aravalli Niwas, Ajmer"
2024-01-22,NGO Kitchen,Jammu & Kashmir,23.5,22.81,21,"Pahalgam Aasra, Pahalgam"
2024-01-22,Food Corner,Jammu & Kashmir,19.67,18.94,22,"Jhelum Seva Sadan, Jammu"
2024-01-22,Corporate Office,Punjab,33.32,31.95,37,"Khalsa Ashram, Ludhiana"
2024-01-23,Hotel Plaza,Jammu & Kashmir,14.27,13.96,15,"Chenab Niwas, Udhampur"
2024-01-23,City Restaurant,Himachal Pradesh,27.72,26.54,24,"Manali Niwas, Manali"
2024-01-23,Local Bakery,Himachal Pradesh,26.11,25.11,28,"Himalayan Aasra, Shimla"
2024-01-23,NGO Kitchen,Haryana,35.29,34.27,30,"Aanchal Shelter, Gurugram"
2024-01-23,Marriage Hall,Uttarakhand,32.25,31.32,32,"Devbhumi Shelter, Dehradun"
2024-01-23,Student Mess,Uttar Pradesh,34.93,33.65,35,"Shanti Niwas, Lucknow"
2024-01-23,Corporate Office,Uttar Pradesh,42.6,40.83,37,"Shanti Niwas, Lucknow"
2024-01-24,Campus Canteen,Delhi,18.87,18.14,21,"Prem Ashram, Lajpat Nagar"
2024-01-24,Corporate Office,Uttarakhand,24.57,23.43,23,"Mandakini Ashram, Rudraprayag"
2024-01-24,Community Center,Jammu & Kashmir,27.87,26.93,26,"Dal Kinara Shelter, Srinagar"
2024-01-24,Local Bakery,Uttarakhand,28.46,27.66,29,"Uttarakhand Seva Kendra, Nainital"
2024-01-24,Student Mess,Punjab,30.85,30.23,32,"Sewa Bhawan, Patiala"
2024-01-25,Food Corner,Delhi,20.38,19.54,22,"Umeed Ghar, Saket"
2024-01-25,Local Bakery,Uttar Pradesh,29.52,28.91,33,"Agra Relief Center, Agra"
2024-01-25,Marriage Hall,Jammu & Kashmir,37.98,36.77,34,"Chenab Niwas, Udhampur"
2024-01-25,Student Mess,Delhi,35.74,34.08,37,"Dil Se Sewa Kendra, Rohini"
2024-01-25,Corporate Office,Uttar Pradesh,40.62,39.58,37,"Vrindavan Aasra, Mathura"
2024-01-25,Campus Canteen,Jammu & Kashmir,39.18,37.54,37,"Dal Kinara Shelter, Srinagar"
2024-01-26,Food Corner,Himachal Pradesh,11.64,11.41,11,"Himalayan Aasra, Shimla"
2024-01-26,Campus Canteen,Rajasthan,20.59,20.06,18,"Bikaner Shelter Trust, Bikaner"
2024-01-26,Corporate Office,Rajasthan,24.72,23.9,22,"Mewar Ashram, Udaipur"
2024-01-26,Community Center,Rajasthan,26.93,26.36,24,"Mewar Ashram, Udaipur"
2024-01-26,NGO Kitchen,Uttar Pradesh,36.6,34.94,35,"Ganga Kinara Ashram, Varanasi"
2024-01-26,City Restaurant,Himachal Pradesh,38.21,36.79,38,"Dalhousie Relief Home, Dalhousie"
2024-01-27,Corporate Office,Haryana,20.41,19.45,17,"Mamta Ashram, Rohtak"
2024-01-27,Food Corner,Jammu & Kashmir,17.43,16.98,19,"Jhelum Seva Sadan, Jammu"
2024-01-27,Local Bakery,Himachal Pradesh,37.25,36.3,34,"Manali Niwas, Manali"
2024-01-28,Student Mess,Rajasthan,10.41,9.98,11,"Rajwada Relief Home, Jaipur"
2024-01-28,NGO Kitchen,Punjab,17.77,16.97,18,"Vatsal Niwas, Jalandhar"
2024-01-28,Community Center,Delhi,21.51,20.93,22,"Umeed Ghar, Saket"
2024-01-29,Local Bakery,Uttar Pradesh,20.81,19.91,22,"Shanti Niwas, Lucknow"
2024-01-29,Marriage Hall,Uttarakhand,40.0,38.56,34,"Mandakini Ashram, Rudraprayag"
2024-01-29,Community Center,Himachal Pradesh,49.35,47.89,42,"Himalayan Aasra, Shimla"
2024-01-30,Hotel Plaza,Jammu & Kashmir,12.58,12.27,14,"Pahalgam Aasra, Pahalgam"
2024-01-30,Local Bakery,Delhi,15.07,14.77,14,"Umeed Ghar, Saket"
2024-01-30,Food Corner,Jammu & Kashmir,19.42,18.53,19,"Chenab Niwas, Udhampur"
2024-01-30,Community Center,Jammu & Kashmir,31.26,29.85,28,"Jhelum Seva Sadan, Jammu"
2024-01-30,City Restaurant,Rajasthan,26.59,25.7,30,"Thar Seva Sadan, Jodhpur"
2024-01-31,Food Corner,Haryana,12.76,12.16,12,"Sukoon Sadan, Hisar"
2024-01-31,Marriage Hall,Uttar Pradesh,15.95,15.61,17,"Shanti Niwas, Lucknow"
2024-01-31,Student Mess,Himachal Pradesh,22.33,21.37,22,"Dharamsala Shelter, Dharamsala"
2024-01-31,Hotel Plaza,Himachal Pradesh,46.73,44.62,39,"Dharamsala Shelter, Dharamsala"
2024-02-01,Hotel Plaza,Uttar Pradesh,19.89,19.24,19,"Ganga Kinara Ashram, Varanasi"
2024-02-01,Campus Canteen,Rajasthan,22.3,21.31,21,"Bikaner Shelter Trust, Bikaner"
2024-02-01,Corporate Office,Himachal Pradesh,42.48,41.33,38,"Dalhousie Relief Home, Dalhousie"
2024-02-02,Community Center,Uttar Pradesh,18.28,17.44,19,"Agra Relief Center, Agra"
2024-02-02,Hotel Plaza,Delhi,21.34,20.55,21,"Aasra Shelter Home, Paharganj"
2024-02-02,Food Corner,Rajasthan,24.93,24.29,22,"Rajwada Relief Home, Jaipur"
2024-02-02,Marriage Hall,Rajasthan,22.91,22.31,25,"Mewar Ashram, Udaipur"
2024-02-02,City Restaurant,Uttarakhand,42.42,41.35,40,"Shivalik Aasra, Rishikesh"
2024-02-03,Community Center,Haryana,13.33,12.81,14,"Priya Niwas, Faridabad"
2024-02-03,Campus Canteen,Jammu & Kashmir,16.31,15.74,15,"Dal Kinara Shelter, Srinagar"
2024-02-03,Food Corner,Uttar Pradesh,26.16,25.5,29,"Shanti Niwas, Lucknow"
2024-02-03,NGO Kitchen,Punjab,41.33,39.91,36,"Nanak Niwas, Bathinda"
2024-02-04,Marriage Hall,Uttar Pradesh,36.78,35.57,36,"Ganga Kinara Ashram, Varanasi"
2024-02-04,Campus Canteen,Uttarakhand,37.2,35.61,38,"Devbhumi Shelter, Dehradun"
2024-02-04,Student Mess,Rajasthan,47.24,46.22,43,"Aravalli Niwas, Ajmer"
2024-02-05,NGO Kitchen,Jammu & Kashmir,15.58,15.02,17,"Dal Kinara Shelter, Srinagar"
2024-02-05,Corporate Office,Himachal Pradesh,21.26,20.64,19,"Dharamsala Shelter, Dharamsala"
2024-02-05,Community Center,Haryana,25.76,24.88,26,"Priya Niwas, Faridabad"
2024-02-06,Marriage Hall,Delhi,18.54,17.79,16,"Snehi Niwas, Dwarka"
2024-02-06,Local Bakery,Uttar Pradesh,16.72,16.18,17,"Agra Relief Center, Agra"
2024-02-06,NGO Kitchen,Jammu & Kashmir,19.06,18.24,18,"Chenab Niwas, Udhampur"
2024-02-06,Student Mess,Rajasthan,22.33,21.55,20,"Thar Seva Sadan, Jodhpur"
2024-02-06,City Restaurant,Punjab,26.05,25.16,22,"Vatsal Niwas, Jalandhar"
2024-02-06,Corporate Office,Jammu & Kashmir,40.09,39.18,36,"Chenab Niwas, Udhampur"
2024-02-06,Hotel Plaza,Rajasthan,42.31,40.97,41,"Bikaner Shelter Trust, Bikaner"
2024-02-07,Food Corner,Punjab,17.17,16.77,16,"Sewa Bhawan, Patiala"
2024-02-07,Corporate Office,Rajasthan,16.38,15.98,18,"Thar Seva Sadan, Jodhpur"
2024-02-07,Marriage Hall,Haryana,18.53,17.97,20,"Sahara Bhawan, Karnal"
2024-02-07,Community Center,Delhi,25.48,24.81,29,"Snehi Niwas, Dwarka"
2024-02-07,NGO Kitchen,Punjab,33.02,32.29,30,"Vatsal Niwas, Jalandhar"
2024-02-08,City Restaurant,Himachal Pradesh,32.92,32.26,30,"Manali Niwas, Manali"
2024-02-08,Food Corner,Rajasthan,45.4,44.23,39,"Mewar Ashram, Udaipur"
2024-02-08,Marriage Hall,Delhi,39.97,38.92,42,"Prem Ashram, Lajpat Nagar"
2024-02-08,Community Center,Jammu & Kashmir,48.89,47.85,47,"Chenab Niwas, Udhampur"
2024-02-09,Community Center,Uttar Pradesh,23.94,23.4,23,"Agra Relief Center, Agra"
2024-02-09,Hotel Plaza,Rajasthan,22.68,21.96,25,"Rajwada Relief Home, Jaipur"
2024-02-09,Local Bakery,Punjab,30.59,29.55,31,"Khalsa Ashram, Ludhiana"
2024-02-09,Marriage Hall,Uttar Pradesh,29.68,28.98,31,"Shanti Niwas, Lucknow"
2024-02-09,Food Corner,Himachal Pradesh,44.78,43.68,43,"Himalayan Aasra, Shimla"
2024-02-10,City Restaurant,Haryana,30.31,29.42,27,"Sukoon Sadan, Hisar"
2024-02-10,Marriage Hall,Uttarakhand,30.17,29.57,30,"Devbhumi Shelter, Dehradun"
2024-02-10,Hotel Plaza,Delhi,42.95,41.59,43,"Umeed Ghar, Saket"
2024-02-10,Community Center,Rajasthan,44.37,43.27,45,"Bikaner Shelter Trust, Bikaner"
2024-02-11,Hotel Plaza,Himachal Pradesh,21.61,21.05,22,"Kullu Seva Kendra, Kullu"
2024-02-11,Student Mess,Uttar Pradesh,24.21,23.58,24,"Vrindavan Aasra, Mathura"
2024-02-11,Local Bakery,Punjab,31.64,30.9,34,"Khalsa Ashram, Ludhiana"
2024-02-11,Corporate Office,Rajasthan,36.08,34.89,36,"Rajwada Relief Home, Jaipur"
2024-02-11,Community Center,Himachal Pradesh,36.03,34.43,38,"Himalayan Aasra, Shimla"
2024-02-11,Food Corner,Uttarakhand,42.45,41.28,47,"Devbhumi Shelter, Dehradun"
2024-02-11,Marriage Hall,Jammu & Kashmir,43.86,42.15,48,"Jhelum Seva Sadan, Jammu"
2024-02-12,Local Bakery,Uttarakhand,22.42,21.46,23,"Devbhumi Shelter, Dehradun"
2024-02-12,NGO Kitchen,Haryana,39.98,38.69,41,"Aanchal Shelter, Gurugram"
2024-02-12,Campus Canteen,Uttar Pradesh,54.07,51.71,48,"Prayag Seva Sadan, Prayagraj"
2024-02-13,NGO Kitchen,Haryana,24.18,23.4,23,"Aanchal Shelter, Gurugram"
2024-02-13,Campus Canteen,Punjab,26.97,26.07,25,"Nanak Niwas, Bathinda"
2024-02-13,Hotel Plaza,Jammu & Kashmir,31.3,30.18,30,"Jhelum Seva Sadan, Jammu"
2024-02-13,City Restaurant,Rajasthan,28.92,28.17,31,"Mewar Ashram, Udaipur"
2024-02-13,Community Center,Haryana,38.9,38.05,34,"Mamta Ashram, Rohtak"
2024-02-13,Marriage Hall,Delhi,48.33,47.25,48,"Snehi Niwas, Dwarka"
2024-02-14,Local Bakery,Uttarakhand,28.2,26.89,26,"Mandakini Ashram, Rudraprayag"
2024-02-14,Marriage Hall,Uttar Pradesh,30.18,28.79,32,"Shanti Niwas, Lucknow"
2024-02-14,Campus Canteen,Jammu & Kashmir,44.18,42.53,38,"Chenab Niwas, Udhampur"
2024-02-14,Corporate Office,Delhi,38.19,36.93,41,"Umeed Ghar, Saket"
2024-02-14,Hotel Plaza,Delhi,45.31,44.11,46,"Prem Ashram, Lajpat Nagar"
2024-02-14,Food Corner,Jammu & Kashmir,50.33,48.1,48,"Jhelum Seva Sadan, Jammu"
2024-02-15,NGO Kitchen,Uttar Pradesh,23.29,22.65,22,"Agra Relief Center, Agra"
2024-02-15,Campus Canteen,Haryana,26.32,25.8,30,"Mamta Ashram, Rohtak"
2024-02-15,City Restaurant,Himachal Pradesh,32.44,31.65,33,"Kullu Seva Kendra, Kullu"
2024-02-15,Student Mess,Uttar Pradesh,40.39,38.7,41,"Ganga Kinara Ashram, Varanasi"
2024-02-15,Local Bakery,Delhi,50.78,49.33,45,"Aasra Shelter Home, Paharganj"
2024-02-15,Food Corner,Punjab,55.12,53.49,50,"Sewa Bhawan, Patiala"
2024-02-16,Student Mess,Himachal Pradesh,29.48,28.33,26,"Dalhousie Relief Home, Dalhousie"
2024-02-16,Corporate Office,Haryana,29.88,29.21,33,"Mamta Ashram, Rohtak"
2024-02-16,Campus Canteen,Haryana,37.03,35.37,33,"Mamta Ashram, Rohtak"
2024-02-16,Marriage Hall,Jammu & Kashmir,57.5,55.88,49,"Banihal Relief Home, Banihal"
2024-02-16,Food Corner,Jammu & Kashmir,56.08,54.25,49,"Dal Kinara Shelter, Srinagar"
2024-02-17,City Restaurant,Himachal Pradesh,40.64,38.78,41,"Himalayan Aasra, Shimla"
2024-02-17,Hotel Plaza,Himachal Pradesh,61.36,58.47,51,"Himalayan Aasra, Shimla"
2024-02-17,Marriage Hall,Punjab,53.12,50.78,51,"Sewa Bhawan, Patiala"
2024-02-18,Campus Canteen,Punjab,30.97,30.36,29,"Vatsal Niwas, Jalandhar"
2024-02-18,Marriage Hall,Haryana,29.1,28.38,32,"Aanchal Shelter, Gurugram"
2024-02-18,Food Corner,Punjab,44.2,42.61,45,"Khalsa Ashram, Ludhiana"
2024-02-18,City Restaurant,Himachal Pradesh,55.12,53.76,47,"Kullu Seva Kendra, Kullu"
2024-02-18,Local Bakery,Himachal Pradesh,52.34,51.24,48,"Kullu Seva Kendra, Kullu"
2024-02-18,Student Mess,Haryana,60.18,57.46,50,"Sahara Bhawan, Karnal"
2024-02-18,Corporate Office,Punjab,48.27,46.23,52,"Sewa Bhawan, Patiala"
2024-02-19,City Restaurant,Rajasthan,24.83,24.29,23,"Thar Seva Sadan, Jodhpur"
2024-02-19,Corporate Office,Delhi,20.84,20.19,23,"Prem Ashram, Lajpat Nagar"
2024-02-19,Food Corner,Haryana,41.99,40.36,47,"Priya Niwas, Faridabad"
2024-02-19,Hotel Plaza,Punjab,56.33,54.84,50,"Vatsal Niwas, Jalandhar"
2024-02-19,Local Bakery,Uttarakhand,49.48,48.39,53,"Uttarakhand Seva Kendra, Nainital"
2024-02-20,NGO Kitchen,Uttar Pradesh,30.96,30.05,32,"Shanti Niwas, Lucknow"
2024-02-20,Local Bakery,Jammu & Kashmir,35.94,34.24,36,"Dal Kinara Shelter, Srinagar"
2024-02-20,Food Corner,Haryana,51.02,49.11,43,"Mamta Ashram, Rohtak"
2024-02-20,City Restaurant,Uttar Pradesh,48.25,46.26,48,"Vrindavan Aasra, Mathura"
2024-02-21,Food Corner,Uttarakhand,29.9,29.26,26,"Devbhumi Shelter, Dehradun"
2024-02-21,Marriage Hall,Delhi,27.61,26.5,30,"Aasra Shelter Home, Paharganj"
2024-02-21,Corporate Office,Rajasthan,33.49,32.34,30,"Bikaner Shelter Trust, Bikaner"
2024-02-21,Local Bakery,Delhi,37.66,36.69,32,"Aasra Shelter Home, Paharganj"
2024-02-21,Campus Canteen,Punjab,35.4,34.5,33,"Guru Nanak Seva Sadan, Amritsar"
2024-02-21,City Restaurant,Himachal Pradesh,59.62,57.14,51,"Kullu Seva Kendra, Kullu"
2024-02-21,Community Center,Rajasthan,52.41,50.99,54,"Thar Seva Sadan, Jodhpur"
2024-02-22,City Restaurant,Uttarakhand,28.27,27.39,25,"Uttarakhand Seva Kendra, Nainital"
2024-02-22,Campus Canteen,Delhi,27.47,26.86,29,"Prem Ashram, Lajpat Nagar"
2024-02-22,Local Bakery,Himachal Pradesh,36.52,35.27,35,"Manali Niwas, Manali"
2024-02-22,Marriage Hall,Delhi,35.57,34.16,37,"Snehi Niwas, Dwarka"
2024-02-22,Hotel Plaza,Rajasthan,49.46,47.9,43,"Aravalli Niwas, Ajmer"
2024-02-22,Student Mess,Punjab,45.35,43.31,49,"Guru Nanak Seva Sadan, Amritsar"
2024-02-23,City Restaurant,Jammu & Kashmir,37.89,36.44,34,"Jhelum Seva Sadan, Jammu"
2024-02-23,Student Mess,Punjab,35.9,35.05,40,"Sewa Bhawan, Patiala"
2024-02-23,Corporate Office,Uttarakhand,46.41,44.47,43,"Devbhumi Shelter, Dehradun"
2024-02-23,Campus Canteen,Uttar Pradesh,43.49,41.74,46,"Agra Relief Center, Agra"
2024-02-23,Hotel Plaza,Jammu & Kashmir,46.81,45.87,47,"Pahalgam Aasra, Pahalgam"
2024-02-23,NGO Kitchen,Himachal Pradesh,56.3,54.96,49,"Manali Niwas, Manali"
2024-02-23,Marriage Hall,Jammu & Kashmir,56.62,55.42,52,"Pahalgam Aasra, Pahalgam"
2024-02-24,Hotel Plaza,Rajasthan,45.28,44.0,43,"Aravalli Niwas, Ajmer"
2024-02-24,Student Mess,Punjab,51.33,50.23,46,"Nanak Niwas, Bathinda"
2024-02-24,Marriage Hall,Jammu & Kashmir,57.63,55.71,52,"Banihal Relief Home, Banihal"
2024-02-24,Campus Canteen,Rajasthan,56.42,54.92,56,"Thar Seva Sadan, Jodhpur"
2024-02-25,Food Corner,Uttar Pradesh,32.4,31.08,29,"Shanti Niwas, Lucknow"
2024-02-25,Hotel Plaza,Haryana,27.39,26.46,30,"Sukoon Sadan, Hisar"
2024-02-25,Corporate Office,Delhi,29.23,28.36,33,"Snehi Niwas, Dwarka"
2024-02-25,City Restaurant,Himachal Pradesh,43.53,41.92,38,"Himalayan Aasra, Shimla"
