Record_ID,Date,Day_of_Week,Month,Year,Season,Day_Type,Festival_Status,Festival_Flag,Donation_Source,Donor_ID,Repeat_Donor,Donation_Count_by_Donor,Food_Category,State,Shelter_ID,Shelter_Name,Shelter_Capacity,Meal_Type,Quantity_Received_kg,Quantity_Delivered_kg,Quantity_Wasted_kg,Spoilage_Rate_pct,No_of_People_Served,Expected_Beneficiaries,Prev_Week_Avg_Served,Surplus_Deficit_kg,Demand_Met_pct,Demand_Met,Distance_km,Transport_Mode,Transport_Cost_INR,Delivery_Time_min,Storage_Condition,Temp_at_Pickup_C,Rainfall_mm,Volunteer_Count,Volunteer_Organization,Advance_Notice_Hours,Beneficiary_Rating
REC-0425,2022-02-16,Wednesday,February,2022,Winter,Weekday,,0,Wedding Hall,DNR-0078,1,4,Raw Groceries,Uttar Pradesh,SHL-002,Umeed Niwas,250,Snack,88.71,76.67,12.04,13.58,430,217,729.3,-22.32469910493135,124.36129590395282,0,1.0,Auto-Rickshaw,9.44,169,Room Temperature,28.4,4.4,12,Org_C,47.0,2.7
REC-0025,2022-02-20,Sunday,February,2022,Winter,Weekend,,0,Corporate Canteen,DNR-0049,0,1,Cooked Meal,Delhi,SHL-007,Prerna Niwas,270,Lunch,460.55,436.69,23.86,5.18,2036,208,1589.0,387.36,978.8,1,32.2,Bike,485.9,24,Refrigerated,26.9,1.9,5,Org_A,26.0,2.6
REC-0040,2022-02-22,Tuesday,February,2022,Winter,Weekday,,0,Individual Donor,DNR-0014,0,1,Cooked Meal,West Bengal,SHL-007,Prerna Niwas,270,Lunch,84.52,78.8,5.72,6.77,349,146,1812.5,-70.18951447003198,105.57910923737725,0,54.2,Van,796.79,92,Frozen,34.6,18.9,14,Org_B,6.0,3.6
REC-0053,2022-02-22,Tuesday,February,2022,Winter,Weekday,,0,Wedding Hall,DNR-0023,0,1,Raw Groceries,Gujarat,SHL-010,Sahara Home,290,Breakfast,401.0,375.59,25.41,6.34,1476,172,721.6,327.84,858.1,1,26.6,Bike,266.72,135,Frozen,31.5,17.9,6,Org_A,24.0,3.2
REC-0529,2022-02-23,Wednesday,February,2022,Winter,Weekday,,0,School/College,DNR-0077,1,5,Mixed,Delhi,SHL-010,Sahara Home,290,Lunch,228.6,210.96,17.64,7.71,806,199,1217.1,157.86,405.0,1,35.1,Van,543.19,32,Refrigerated,34.4,10.7,11,Org_A,17.0,3.6
REC-0554,2022-02-24,Thursday,February,2022,Winter,Weekday,,0,Wedding Hall,DNR-0005,1,7,Cooked Meal,Uttar Pradesh,SHL-007,Prerna Niwas,270,Dinner,386.01,363.59,22.42,5.81,1427,161,1055.9,326.12,886.3,1,29.5,Truck,446.1,17,Refrigerated,33.9,10.2,3,Org_D,18.0,3.0
REC-0037,2022-02-25,Friday,February,2022,Winter,Weekday,,0,Wedding Hall,DNR-0049,1,2,Cooked Meal,West Bengal,SHL-003,Seva Sadan,200,Snack,626.45,598.47,27.98,4.47,2586,167,1316.3,567.43,1548.5,1,25.2,Auto-Rickshaw,440.97,98,Refrigerated,31.5,12.6,9,Org_C,42.0,4.5
REC-0506,2022-02-27,Sunday,February,2022,Winter,Weekend,,0,Corporate Canteen,DNR-0028,1,5,Packaged Food,Tamil Nadu,SHL-010,Sahara Home,290,Snack,80.61,72.25,8.36,10.37,257,251,1239.3,22.69,102.4,1,33.2,Van,496.97,61,Room Temperature,29.2,7.0,2,Org_C,16.0,4.4
REC-0361,2022-03-01,Tuesday,March,2022,Summer,Weekday,Holi,1,Corporate Canteen,DNR-0018,1,8,Packaged Food,Gujarat,SHL-006,Asha Griha,220,Dinner,311.39,272.51,38.88,12.49,1085,180,907.3,229.13,602.8,1,22.2,Truck,413.65,138,Room Temperature,27.7,0.7,12,Org_A,59.0,4.7
REC-0576,2022-03-02,Wednesday,March,2022,Summer,Weekday,Holi,1,Supermarket,DNR-0035,1,9,Packaged Food,Gujarat,SHL-008,Karuna Ashram,350,Snack,592.83,573.32,19.51,3.29,2382,251,909.9,508.83,949.0,1,26.1,Van,505.58,16,Refrigerated,33.6,19.8,3,Org_A,,4.4
REC-0142,2022-03-07,Monday,March,2022,Summer,Weekday,Holi,1,Temple/Gurudwara,DNR-0005,1,2,Cooked Meal,Maharashtra,SHL-004,Jeevan Kendra,180,Lunch,315.89,278.12,37.77,11.96,1062,99,769.1,-262.74327650801445,582.7133743435444,0,38.4,Van,573.72,129,Refrigerated,28.6,14.4,5,Org_E,6.0,3.2
REC-0347,2022-03-08,Tuesday,March,2022,Summer,Weekday,Holi,1,Temple/Gurudwara,DNR-0027,0,1,Cooked Meal,Maharashtra,SHL-005,Annapurna Shelter,400,Snack,180.79,174.67,6.12,3.38,766,310,685.6,-96.89826261146288,93.71517491408643,0,36.7,Auto-Rickshaw,660.74,31,Frozen,31.0,18.8,9,Org_B,63.0,4.5
REC-0390,2022-03-11,Friday,March,2022,Summer,Weekday,,0,Restaurant,DNR-0016,1,6,Cooked Meal,Karnataka,SHL-001,Aashraya Shelter,300,Lunch,65.69,64.85,0.84,1.27,324,285,1060.3,0.92,113.7,1,21.6,Car,228.87,37,Frozen,26.7,12.9,8,Org_A,24.0,3.6
REC-0461,2022-03-13,Sunday,March,2022,Summer,Weekend,,0,Restaurant,DNR-0016,1,9,Packaged Food,Gujarat,SHL-005,Annapurna Shelter,400,Snack,295.88,269.75,26.13,8.83,1218,375,945.3,196.53,324.8,1,32.4,Bike,608.83,151,Frozen,34.5,2.5,15,Org_C,57.0,4.1
REC-0383,2022-03-14,Monday,March,2022,Summer,Weekday,,0,Supermarket,DNR-0075,1,2,Raw Groceries,Rajasthan,SHL-010,Sahara Home,290,Dinner,194.37,184.15,10.22,5.26,807,203,1013.6,130.56,397.5,1,54.9,Van,1021.1,58,Frozen,32.1,13.2,12,Org_D,38.0,3.5
REC-0055,2022-03-17,Thursday,March,2022,Summer,Weekday,,0,School/College,DNR-0066,0,1,Raw Groceries,Karnataka,SHL-006,Asha Griha,220,Dinner,39.06,37.35,1.71,4.38,206,192,1045.3,16.03710225392478,60.84103747342982,0,4.3,Bike,45.2,15,Refrigerated,32.4,18.4,8,Org_D,7.0,3.4
REC-0286,2022-03-21,Monday,March,2022,Summer,Weekday,,0,Catering Company,DNR-0001,1,4,Raw Groceries,Karnataka,SHL-002,Umeed Niwas,250,Snack,97.43,91.29,6.14,6.3,355,145,1392.3,-43.70781404644905,112.69516899407758,0,36.4,Auto-Rickshaw,372.29,125,Frozen,30.9,8.2,7,Org_E,6.0,4.2
REC-0396,2022-03-22,Tuesday,March,2022,Summer,Weekday,,0,Temple/Gurudwara,DNR-0063,1,4,Raw Groceries,Gujarat,SHL-005,Annapurna Shelter,400,Snack,58.92,57.28,1.64,2.79,342,336,905.1,0.06,101.8,1,14.3,Van,138.86,36,Frozen,28.6,10.4,13,Org_C,25.0,3.5
REC-0024,2022-03-23,Wednesday,March,2022,Summer,Weekday,,0,NGO Partner,DNR-0080,0,1,Packaged Food,Gujarat,SHL-004,Jeevan Kendra,180,Breakfast,118.38,105.87,12.51,10.57,505,135,1226.2,81.31,374.1,1,47.8,Bike,755.22,54,Frozen,37.5,16.2,15,Org_D,21.0,4.3
REC-0190,2022-03-23,Wednesday,March,2022,Summer,Weekday,,0,Restaurant,DNR-0052,1,2,Cooked Meal,West Bengal,SHL-009,Daya Niwas,310,Dinner,67.99,59.65,8.34,12.27,231,223,924.0,-13.442312257728252,47.690330695347185,0,49.3,Car,443.78,36,Room Temperature,26.6,3.7,6,Org_D,11.0,4.7
REC-0388,2022-03-26,Saturday,March,2022,Summer,Weekend,,0,Wedding Hall,DNR-0013,1,6,Cooked Meal,Delhi,SHL-007,Prerna Niwas,270,Dinner,265.6,239.34,26.26,9.89,1269,140,1083.0,208.32,906.4,1,53.4,Bike,758.03,80,Room Temperature,23.6,17.5,9,Org_C,31.0,4.0
REC-0533,2022-03-28,Monday,March,2022,Summer,Weekday,,0,School/College,DNR-0028,1,6,Raw Groceries,Gujarat,SHL-001,Aashraya Shelter,300,Lunch,26.48,23.38,3.1,11.69,82,252,847.1,-21.91,32.5,0,19.4,Auto-Rickshaw,189.33,76,Room Temperature,38.4,19.3,13,Org_E,43.0,2.9
REC-0060,2022-03-31,Thursday,March,2022,Summer,Weekday,,0,NGO Partner,DNR-0017,1,2,Cooked Meal,Uttar Pradesh,SHL-007,Prerna Niwas,270,Snack,87.07,77.14,9.93,11.4,371,190,1580.0,45.24,195.3,1,49.4,Auto-Rickshaw,461.62,143,Room Temperature,26.7,3.5,15,Org_A,13.0,3.5
REC-0597,2022-04-02,Saturday,April,2022,Summer,Weekend,Eid,1,Hotel,DNR-0078,1,8,Cooked Meal,Maharashtra,SHL-004,Jeevan Kendra,180,Lunch,691.27,648.43,42.84,6.2,2947,112,1064.0,622.39,2631.2,1,10.6,Bike,101.97,156,Refrigerated,34.2,6.4,11,Org_B,46.0,3.2
REC-0471,2022-04-04,Monday,April,2022,Summer,Weekday,Eid,1,Restaurant,DNR-0017,1,6,Raw Groceries,Rajasthan,SHL-009,Daya Niwas,310,Snack,467.51,388.81,78.7,16.83,2038,167,1156.4,359.29,1220.4,1,21.8,Bike,300.11,158,Room Temperature,35.9,9.5,11,Org_C,23.0,2.7
REC-0106,2022-04-08,Friday,April,2022,Summer,Weekday,Eid,1,NGO Partner,DNR-0050,1,2,Raw Groceries,Rajasthan,SHL-002,Umeed Niwas,250,Dinner,376.7,340.87,35.83,9.51,1991,210,1300.0,-201.5848384818464,691.7929930549592,0,51.3,Truck,595.67,101,Room Temperature,34.4,12.7,9,Org_D,64.0,4.3
REC-0482,2022-04-08,Friday,April,2022,Summer,Weekday,Eid,1,Catering Company,DNR-0013,1,8,Raw Groceries,Karnataka,SHL-001,Aashraya Shelter,300,Breakfast,344.11,299.48,44.63,12.97,1479,201,745.1,263.1,735.8,1,27.1,Car,294.29,133,Room Temperature,26.6,,7,Org_D,33.0,3.1
REC-0399,2022-04-13,Wednesday,April,2022,Summer,Weekday,,0,Individual Donor,DNR-0015,1,6,Cooked Meal,Karnataka,SHL-008,Karuna Ashram,350,Lunch,92.33,86.1,6.23,6.75,469,348,1538.1,-1.0722292861468752,90.1913608763299,0,16.2,Car,299.57,142,Refrigerated,33.0,1.5,3,Org_A,26.0,4.6
REC-0291,2022-04-17,Sunday,April,2022,Summer,Weekend,,0,Corporate Canteen,DNR-0056,1,2,Cooked Meal,West Bengal,SHL-001,Aashraya Shelter,300,Breakfast,127.76,117.4,10.36,8.11,563,241,591.0,58.81,233.6,1,6.7,Auto-Rickshaw,58.24,37,Room Temperature,27.1,7.1,6,Org_E,29.0,3.5
REC-0464,2022-04-17,Sunday,April,2022,Summer,Weekend,,0,Corporate Canteen,DNR-0041,1,10,Raw Groceries,Uttar Pradesh,SHL-003,Seva Sadan,200,Breakfast,252.6,223.74,28.86,11.43,831,153,1207.3,197.28,543.1,1,45.1,Truck,570.77,162,Refrigerated,23.4,8.9,3,Org_C,21.0,4.6
REC-0523,2022-04-17,Sunday,April,2022,Summer,Weekend,,0,NGO Partner,DNR-0060,1,6,Mixed,West Bengal,SHL-007,Prerna Niwas,270,Dinner,264.29,245.84,18.45,6.98,1226,254,951.9,-164.9566635523197,378.1630005633105,0,24.3,Van,370.62,141,Frozen,30.2,16.3,10,Org_E,6.0,4.1
REC-0196,2022-04-18,Monday,April,2022,Summer,Weekday,,0,Corporate Canteen,DNR-0037,1,5,Raw Groceries,Gujarat,SHL-009,Daya Niwas,310,Breakfast,320.0,295.8,24.2,7.56,1261,187,1026.9,243.61,674.3,1,38.5,Truck,448.42,94,Refrigerated,30.6,12.9,3,Org_D,71.0,4.1
REC-0093,2022-04-18,Monday,April,2022,Summer,Weekday,,0,NGO Partner,DNR-0037,1,3,Cooked Meal,Karnataka,SHL-006,Asha Griha,220,Breakfast,51.62,49.25,2.37,4.59,249,207,756.6,-10.964821699466444,40.18081545193809,0,43.7,Car,471.76,79,Frozen,25.1,10.8,7,Org_D,11.0,2.6
REC-0130,2022-04-18,Monday,April,2022,Summer,Weekday,,0,Wedding Hall,DNR-0001,0,1,Cooked Meal,West Bengal,SHL-006,Asha Griha,220,Snack,522.58,473.75,48.83,9.34,2333,113,896.3,454.36,2064.6,1,34.4,Van,559.84,155,Frozen,32.9,9.9,8,Org_B,61.0,4.2
REC-0369,2022-04-21,Thursday,April,2022,Summer,Weekday,,0,Wedding Hall,DNR-0079,1,4,Mixed,West Bengal,SHL-007,Prerna Niwas,270,Lunch,285.34,282.09,3.25,1.14,1432,192,1230.1,242.67,745.8,1,15.0,Car,151.44,106,Frozen,24.2,1.6,7,Org_D,26.0,3.2
REC-0273,2022-04-22,Friday,April,2022,Summer,Weekday,,0,Catering Company,DNR-0033,1,2,Raw Groceries,Uttar Pradesh,SHL-009,Daya Niwas,310,Breakfast,199.61,187.22,12.39,6.21,969,253,1284.3,123.93,383.0,1,52.0,Bike,677.04,40,Frozen,23.7,7.5,13,Org_A,63.0,4.4
REC-0006,2022-04-25,Monday,April,2022,Summer,Weekday,,0,Hotel,DNR-0073,0,1,Cooked Meal,Maharashtra,SHL-006,Asha Griha,220,Snack,189.49,176.2,13.29,7.01,649,218,2042.0,-75.7013150352707,93.95613845642256,0,8.6,Bike,89.31,95,Refrigerated,26.7,10.9,12,Org_B,64.0,2.5
REC-0143,2022-04-26,Tuesday,April,2022,Summer,Weekday,,0,Corporate Canteen,DNR-0031,1,4,Raw Groceries,Rajasthan,SHL-004,Jeevan Kendra,180,Dinner,64.3,62.62,1.68,2.62,254,121,900.9,29.68,209.9,1,11.4,Car,162.21,92,Frozen,31.1,17.9,12,Org_C,67.0,2.7
REC-0151,2022-05-01,Sunday,May,2022,Summer,Weekend,,0,Catering Company,DNR-0030,1,3,Cooked Meal,Maharashtra,SHL-002,Umeed Niwas,250,Breakfast,478.83,430.8,48.03,10.03,2331,146,1022.9,400.1,1596.6,1,27.3,Van,349.0,32,Room Temperature,34.2,18.5,2,Org_B,28.0,2.9
REC-0080,2022-05-03,Tuesday,May,2022,Summer,Weekday,,0,Supermarket,DNR-0007,0,1,Cooked Meal,Delhi,SHL-002,Umeed Niwas,250,Snack,99.57,98.15,1.42,1.43,394,128,1606.1,65.77,307.8,1,1.7,Bike,25.49,88,Frozen,25.8,17.9,7,Org_D,14.0,3.6
REC-0172,2022-05-09,Monday,May,2022,Summer,Weekday,,0,Supermarket,DNR-0059,1,6,Raw Groceries,Karnataka,SHL-009,Daya Niwas,310,Lunch,151.02,132.95,18.07,11.97,595,218,885.0,91.34,272.9,1,48.9,Bike,393.09,44,Room Temperature,26.8,14.4,12,Org_B,63.0,4.0
REC-0489,2022-05-11,Wednesday,May,2022,Summer,Weekday,,0,Individual Donor,DNR-0058,1,4,Cooked Meal,West Bengal,SHL-008,Karuna Ashram,350,Breakfast,37.29,35.4,1.89,5.06,186,213,1270.7,-12.83,87.3,0,12.5,Truck,158.64,126,Frozen,27.8,4.8,4,Org_C,37.0,4.9
REC-0583,2022-05-13,Friday,May,2022,Summer,Weekday,,0,NGO Partner,DNR-0015,1,10,Cooked Meal,West Bengal,SHL-007,Prerna Niwas,270,Snack,70.71,65.83,4.88,6.9,263,145,1272.0,-21.973127674061907,99.1152680699515,0,13.0,Auto-Rickshaw,105.56,89,Refrigerated,28.8,0.5,3,Org_C,12.0,2.7
REC-0417,2022-05-15,Sunday,May,2022,Summer,Weekend,,0,Hotel,DNR-0010,1,6,Raw Groceries,Uttar Pradesh,SHL-002,Umeed Niwas,250,Breakfast,111.7,103.03,8.67,7.76,445,207,1027.6,64.55,215.0,1,8.4,Truck,149.04,42,Refrigerated,33.4,17.2,6,Org_C,15.0,4.9
REC-0600,2022-05-16,Monday,May,2022,Summer,Weekday,,0,NGO Partner,DNR-0036,1,13,Cooked Meal,Karnataka,SHL-006,Asha Griha,220,Dinner,285.34,271.46,13.88,4.86,1188,169,978.4,-218.6076760186856,262.7300519752864,0,1.9,Bike,33.21,17,Refrigerated,25.0,13.9,8,Org_B,29.0,3.0
REC-0555,2022-05-20,Friday,May,2022,Summer,Weekday,,0,Wedding Hall,DNR-0022,1,6,Packaged Food,Gujarat,SHL-008,Karuna Ashram,350,Lunch,112.58,94.63,17.95,15.94,401,198,1123.4,-34.11577954527632,82.06600945461206,0,44.3,Truck,725.15,19,Room Temperature,39.6,0.4,4,Org_B,38.0,4.1
REC-0532,2022-05-21,Saturday,May,2022,Summer,Weekend,,0,NGO Partner,DNR-0075,1,5,Raw Groceries,Gujarat,SHL-008,Karuna Ashram,350,Snack,151.85,134.5,17.35,11.42,542,216,970.0,83.11,250.9,1,40.6,Car,525.1,159,Frozen,39.8,7.8,11,Org_C,39.0,3.1
REC-0478,2022-05-25,Wednesday,May,2022,Summer,Weekday,,0,Catering Company,DNR-0052,1,8,Cooked Meal,West Bengal,SHL-002,Umeed Niwas,250,Snack,119.53,114.05,5.48,4.58,423,162,1074.4,86.67,261.1,1,15.0,Bike,290.05,37,Refrigerated,29.7,10.2,15,Org_B,27.0,3.3
REC-0013,2022-05-26,Thursday,May,2022,Summer,Weekday,,0,Restaurant,DNR-0031,0,1,Raw Groceries,Gujarat,SHL-002,Umeed Niwas,250,Breakfast,106.91,103.43,3.48,3.26,434,238,1836.5,45.37,182.4,1,28.1,Bike,273.66,86,Refrigerated,27.5,12.2,5,Org_E,70.0,3.7
REC-0270,2022-05-29,Sunday,May,2022,Summer,Weekend,,0,NGO Partner,DNR-0057,1,4,Raw Groceries,Karnataka,SHL-005,Annapurna Shelter,400,Dinner,337.34,317.82,19.52,5.79,1358,258,836.7,272.39,526.4,1,47.7,Car,766.66,112,Refrigerated,26.2,2.6,15,Org_C,4.0,4.5
REC-0211,2022-05-29,Sunday,May,2022,Summer,Weekend,,0,NGO Partner,DNR-0018,1,7,Mixed,West Bengal,SHL-010,Sahara Home,290,Breakfast,159.59,147.78,11.81,7.4,648,281,1423.4,93.44,230.6,1,4.8,Bike,77.49,55,Room Temperature,29.4,15.0,14,Org_C,63.0,3.4
REC-0031,2022-05-30,Monday,May,2022,Summer,Weekday,,0,School/College,DNR-0032,1,3,Cooked Meal,West Bengal,SHL-010,Sahara Home,290,Lunch,31.67,28.1,3.57,11.28,144,168,757.0,-17.6,85.7,0,28.2,Truck,442.99,52,Room Temperature,28.9,12.5,14,Org_D,14.0,2.6
REC-0166,2022-06-01,Wednesday,June,2022,Monsoon,Weekday,,0,School/College,DNR-0070,1,4,Cooked Meal,Uttar Pradesh,SHL-010,Sahara Home,290,Snack,191.36,177.52,13.84,7.23,1029,181,1014.3,143.92,568.5,1,47.5,Car,642.51,24,Frozen,26.7,162.9,13,Org_D,69.0,4.6
